hex_id,lat,lon
872a8b509ffffff,36.28944281792382,-80.02326130368643
872a8b572ffffff,36.291617576152014,-79.99617517935066
872a8b570ffffff,36.29378634232753,-79.96908608198622
872a8b50dffffff,36.307810115991906,-80.01253409242125
872a8b1b2ffffff,36.30667297025316,-79.80648971564175
872a8b1b0ffffff,36.30879972423313,-79.77938013296199
872a8bcc8ffffff,36.320759022254585,-79.84990718220503
872a8bccdffffff,36.32289614988897,-79.82279243610152
872a8b1b6ffffff,36.32502726441966,-79.7956747893794
872a8bcccffffff,36.3391210474907,-79.83910590011581
872a8bcebffffff,36.34125652836685,-79.81198018900255
872a8bce9ffffff,36.34338598959148,-79.78485157983384
872a8bcc1ffffff,36.355347656327716,-79.85543011566055
872a8bceaffffff,36.35748750934753,-79.82829633981594
872a8b576ffffff,36.309983271651234,-79.98543699499162
872a8b574ffffff,36.312150428707064,-79.9583369269931
872a8b50cffffff,36.32400433326787,-80.0289037510754
872a8b52bffffff,36.32618188419734,-80.00179865333483
872a8b529ffffff,36.328353432413614,-79.97469057584728
872a8bcdaffffff,36.33051897547059,-79.94757953025946
872a8b52affffff,36.34238217321441,-80.0181710649405
872a8b528ffffff,36.344558118382125,-79.99105497771204
872a8b52dffffff,36.34672805427462,-79.96393591319841
872a8b52effffff,36.36076447985475,-80.00743014052408
872a8bcdbffffff,36.31431158472081,-79.93123390006457
872a8bcd9ffffff,36.31646673726257,-79.90412792585272
872a8bccaffffff,36.31861588391127,-79.87701901601213
872a8bcd8ffffff,36.332678510930975,-79.92046552822606
872a8bcddffffff,36.334832036366166,-79.8933485814095
872a8bcceffffff,36.3369795493564,-79.86622870148005
872a8bcdeffffff,36.34889197844705,-79.93681388306213
872a8bcdcffffff,36.35104988846343,-79.90968889897361
872a8bcc3ffffff,36.35320178189646,-79.88256097261107
872a8bcd1ffffff,36.36726943345553,-79.92603997666687
872a8bce8ffffff,36.35962133855511,-79.80115965677874
872a8bcedffffff,36.36174914155841,-79.77402007825832
872a8bcc5ffffff,36.37372020062468,-79.84462324980754
872a8bceeffffff,36.37585840361806,-79.81747849255538
872a8bcecffffff,36.37799057624016,-79.7903308306762
872a8bce3ffffff,36.39209717803686,-79.8338080951638
872a8bce1ffffff,36.39423372608531,-79.80665234957306
872a8bc52ffffff,36.396364237198526,-79.77949370192992
872a8bce2ffffff,36.408337655058105,-79.85014847260767
872a8bce0ffffff,36.41047858434396,-79.82298464296113
872a8b52cffffff,36.36293881437843,-79.98030305682668
872a8bcd3ffffff,36.36510713305985,-79.95317299831483
872a8b523ffffff,36.376972510063716,-80.02381607222345
872a8b521ffffff,36.37915124901769,-79.99668096909292
872a8bcd2ffffff,36.381323968008466,-79.96954288194142
872a8b520ffffff,36.39536535141819,-80.01306965794929
872a8b525ffffff,36.397542476522126,-79.98592354190268
872a8bcd6ffffff,36.399713575084654,-79.95877444430793
872a8b526ffffff,36.41158111479583,-80.0294691313513
872a8b524ffffff,36.41376265182015,-80.00231498616276
872a8bcc2ffffff,36.3694257131307,-79.89890400356903
872a8bcc0ffffff,36.371575969659446,-79.8717650907153
872a8bcd0ffffff,36.38349066458504,-79.9424018224552
872a8bcd5ffffff,36.385651336305166,-79.9152578023284
872a8bcc6ffffff,36.38780598073545,-79.88811083326301
872a8bcc4ffffff,36.389954595451265,-79.86096092696893
872a8bcd4ffffff,36.401878644656,-79.93162237686713
872a8bcf3ffffff,36.40403768279529,-79.90446735129028
872a8bcf1ffffff,36.40619068707042,-79.87730937929524
872a8bcf2ffffff,36.42027106906868,-79.92083465278712
872a8bce5ffffff,36.41261347252242,-79.79581790209686
872a8bce6ffffff,36.42672514425626,-79.83932771885611
872a8bce4ffffff,36.428864415315715,-79.81215288442016
872a8bc0bffffff,36.430997638692624,-79.78497514134351
872a8bc1bffffff,36.44297339905244,-79.85568158527734
872a8bc19ffffff,36.44511705881213,-79.82849865692772
872a8bc0affffff,36.44725466671197,-79.80131281075049
872a8bc08ffffff,36.44938622034918,-79.77412405851868
872a8bc18ffffff,36.46137139623545,-79.84485522765097
872a8bc1dffffff,36.46351339448215,-79.81766127802486
872a8bc8bffffff,36.41593815817711,-79.97515785019789
872a8bc89ffffff,36.41810763140943,-79.94799773516668
872a8bc99ffffff,36.42998448711196,-80.0187172226893
872a8bc8affffff,36.43216440707528,-79.99155204810135
